courses,height_mm,beds,purchased_sleepers,saw_cuts,fixing_entries,timber_and_screws_pence,known_subtotal_pence,complete_cost_pence,fill_litres,cutting_algorithm
2,400,1,6,6,30,18930,18930,,770.0,exact
3,600,1,9,8,52,29460,29460,,1210.0,exact
