id,bed_id,course,piece_id,receiver_id,kind,entry_face,u_from_A_mm,v_mm,w_up_mm,entry_x_mm,entry_y_mm,entry_z_mm,direction_x,direction_y,direction_z,screw_id,screw_length_mm,diameter_mm,through_mm,penetration_mm,pilot_mode,pilot_diameter_mm,pilot_depth_mm
side-01-C3-N-F05,side-01,3,side-01-C3-N,side-01-C2-N,stack,top,240.0,50.0,200,240.0,850.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-N-F06,side-01,3,side-01-C3-N,side-01-C2-N,stack,top,706.667,50.0,200,706.667,850.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-N-F07,side-01,3,side-01-C3-N,side-01-C2-N,stack,top,1173.333,50.0,200,1173.333,850.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-N-F08,side-01,3,side-01-C3-N,side-01-C2-N,stack,top,1620.0,50.0,200,1620.0,850.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-S-F01,side-01,3,side-01-C3-S,side-01-C3-W,corner,outer,50.0,0,50.0,50.0,0,450.0,0,1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C3-S-F02,side-01,3,side-01-C3-S,side-01-C3-W,corner,outer,50.0,0,150.0,50.0,0,550.0,0,1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C3-S-F03,side-01,3,side-01-C3-S,side-01-C3-E,corner,outer,1750.0,0,50.0,1750.0,0,450.0,0,1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C3-S-F04,side-01,3,side-01-C3-S,side-01-C3-E,corner,outer,1750.0,0,150.0,1750.0,0,550.0,0,1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C3-S-F05,side-01,3,side-01-C3-S,side-01-C2-S,stack,top,240.0,50.0,200,240.0,50.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-S-F06,side-01,3,side-01-C3-S,side-01-C2-S,stack,top,706.667,50.0,200,706.667,50.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-S-F07,side-01,3,side-01-C3-S,side-01-C2-S,stack,top,1173.333,50.0,200,1173.333,50.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-S-F08,side-01,3,side-01-C3-S,side-01-C2-S,stack,top,1620.0,50.0,200,1620.0,50.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-W-F01,side-01,3,side-01-C3-W,side-01-C2-W,stack,top,240.0,50.0,200,50.0,340.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C3-W-F02,side-01,3,side-01-C3-W,side-01-C2-W,stack,top,540.0,50.0,200,50.0,640.0,600,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
