board_id,stock_id,sequence,operation,piece_id,kerf_start_mm,kerf_end_mm,blade_centre_mm
B003,wickes-256948,1,crosscut; keep piece on datum side,offer-bed-01-C1-E,1200,1203,1201.5
B004,wickes-256948,1,crosscut; keep piece on datum side,offer-bed-01-C1-W,1200,1203,1201.5
