id,bed_id,course,piece_id,receiver_id,kind,entry_face,u_from_A_mm,v_mm,w_up_mm,entry_x_mm,entry_y_mm,entry_z_mm,direction_x,direction_y,direction_z,screw_id,screw_length_mm,diameter_mm,through_mm,penetration_mm,pilot_mode,pilot_diameter_mm,pilot_depth_mm
front-01-C1-N-F01,front-01,1,front-01-C1-N,front-01-C1-W,corner,outer,50.0,100,50.0,50.0,1200,50.0,0,-1,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C1-N-F02,front-01,1,front-01-C1-N,front-01-C1-W,corner,outer,50.0,100,150.0,50.0,1200,150.0,0,-1,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C1-N-F03,front-01,1,front-01-C1-N,front-01-C1-E,corner,outer,2350.0,100,50.0,2350.0,1200,50.0,0,-1,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C1-N-F04,front-01,1,front-01-C1-N,front-01-C1-E,corner,outer,2350.0,100,150.0,2350.0,1200,150.0,0,-1,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C1-S-F01,front-01,1,front-01-C1-S,front-01-C1-W,corner,outer,50.0,0,50.0,50.0,0,50.0,0,1,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C1-S-F02,front-01,1,front-01-C1-S,front-01-C1-W,corner,outer,50.0,0,150.0,50.0,0,150.0,0,1,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C1-S-F03,front-01,1,front-01-C1-S,front-01-C1-E,corner,outer,2350.0,0,50.0,2350.0,0,50.0,0,1,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C1-S-F04,front-01,1,front-01-C1-S,front-01-C1-E,corner,outer,2350.0,0,150.0,2350.0,0,150.0,0,1,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-E-F01,front-01,2,front-01-C2-E,front-01-C2-S,corner,outer,50.0,100,50.0,2400,50.0,250.0,-1,0,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-E-F02,front-01,2,front-01-C2-E,front-01-C2-S,corner,outer,50.0,100,150.0,2400,50.0,350.0,-1,0,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-E-F03,front-01,2,front-01-C2-E,front-01-C2-N,corner,outer,1150.0,100,50.0,2400,1150.0,250.0,-1,0,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-E-F04,front-01,2,front-01-C2-E,front-01-C2-N,corner,outer,1150.0,100,150.0,2400,1150.0,350.0,-1,0,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-E-F05,front-01,2,front-01-C2-E,front-01-C1-E,stack,top,200.0,50.0,200,2350.0,200.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-E-F06,front-01,2,front-01-C2-E,front-01-C1-E,stack,top,600.0,50.0,200,2350.0,600.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-E-F07,front-01,2,front-01-C2-E,front-01-C1-E,stack,top,1000.0,50.0,200,2350.0,1000.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-N-F01,front-01,2,front-01-C2-N,front-01-C1-N,stack,top,200.0,50.0,200,300.0,1150.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-N-F02,front-01,2,front-01-C2-N,front-01-C1-N,stack,top,800.0,50.0,200,900.0,1150.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-N-F03,front-01,2,front-01-C2-N,front-01-C1-N,stack,top,1400.0,50.0,200,1500.0,1150.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-N-F04,front-01,2,front-01-C2-N,front-01-C1-N,stack,top,2000.0,50.0,200,2100.0,1150.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-S-F01,front-01,2,front-01-C2-S,front-01-C1-S,stack,top,200.0,50.0,200,300.0,50.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-S-F02,front-01,2,front-01-C2-S,front-01-C1-S,stack,top,800.0,50.0,200,900.0,50.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-S-F03,front-01,2,front-01-C2-S,front-01-C1-S,stack,top,1400.0,50.0,200,1500.0,50.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-S-F04,front-01,2,front-01-C2-S,front-01-C1-S,stack,top,2000.0,50.0,200,2100.0,50.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-W-F01,front-01,2,front-01-C2-W,front-01-C2-S,corner,outer,50.0,0,50.0,0,50.0,250.0,1,0,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-W-F02,front-01,2,front-01-C2-W,front-01-C2-S,corner,outer,50.0,0,150.0,0,50.0,350.0,1,0,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-W-F03,front-01,2,front-01-C2-W,front-01-C2-N,corner,outer,1150.0,0,50.0,0,1150.0,250.0,1,0,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-W-F04,front-01,2,front-01-C2-W,front-01-C2-N,corner,outer,1150.0,0,150.0,0,1150.0,350.0,1,0,0,wickes-287686,150,7,100,50,pilot,5,100
front-01-C2-W-F05,front-01,2,front-01-C2-W,front-01-C1-W,stack,top,200.0,50.0,200,50.0,200.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-W-F06,front-01,2,front-01-C2-W,front-01-C1-W,stack,top,600.0,50.0,200,50.0,600.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
front-01-C2-W-F07,front-01,2,front-01-C2-W,front-01-C1-W,stack,top,1000.0,50.0,200,50.0,1000.0,400,0,0,-1,wickes-287688,250,7,200,50,pilot,5,180
