courses,height_mm,beds,purchased_sleepers,saw_cuts,fixing_entries,timber_and_screws_pence,known_subtotal_pence,complete_cost_pence,fill_litres,cutting_algorithm
2,400,1,8,6,30,22930,22930,,924.0,exact
3,600,1,12,8,54,35460,35460,,1452.0,exact
